                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 1.2374,                 1.2572,                 1.4204,                0.53352,                0.68359,                0.61431,                0.39772,                 1.3666,                 1.3241,                 1.5541,             0.00084184,             0.00084184,             0.00084184
                    127,                 1.2599,                 1.2766,                 1.4568,                 0.5207,                0.60682,                0.59829,                0.38307,                  1.382,                 1.3787,                 1.5574,             0.00083523,             0.00083523,             0.00083523
                    128,                 1.2573,                 1.2593,                 1.4271,                0.55225,                0.63297,                0.59068,                0.36826,                 1.4101,                 1.3806,                 1.6173,             0.00082863,             0.00082863,             0.00082863
                    129,                 1.2277,                 1.2458,                 1.4015,                0.50879,                0.63835,                0.59841,                0.37218,                 1.3795,                 1.3312,                 1.5602,             0.00082203,             0.00082203,             0.00082203
                    130,                   1.27,                 1.2896,                 1.4589,                0.59922,                0.62284,                0.62346,                0.38977,                 1.3848,                  1.341,                 1.5738,             0.00081543,             0.00081543,             0.00081543
                    131,                 1.2389,                 1.2022,                 1.4253,                0.61781,                0.58337,                0.60738,                0.37606,                 1.3943,                 1.3302,                  1.583,             0.00080883,             0.00080883,             0.00080883
                    132,                  1.237,                 1.2349,                 1.3995,                0.59291,                0.57678,                 0.5952,                0.37994,                 1.3977,                 1.3581,                 1.5847,             0.00080223,             0.00080223,             0.00080223
                    133,                 1.2116,                 1.2359,                 1.4111,                0.53937,                   0.69,                0.63915,                0.39437,                 1.4241,                 1.3198,                  1.595,             0.00079563,             0.00079563,             0.00079563
                    134,                 1.2314,                 1.2377,                 1.4266,                0.56424,                0.59867,                0.62071,                 0.3776,                  1.412,                 1.3148,                 1.6004,             0.00078902,             0.00078902,             0.00078902
                    135,                 1.2554,                 1.2338,                 1.4237,                0.52863,                0.66759,                0.60374,                0.36933,                  1.393,                 1.4369,                  1.556,             0.00078242,             0.00078242,             0.00078242
                    136,                 1.2466,                 1.2673,                 1.4167,                0.51928,                0.65654,                 0.6345,                0.39036,                 1.3915,                 1.3118,                  1.569,             0.00077582,             0.00077582,             0.00077582
                    137,                 1.2302,                 1.2881,                 1.4146,                0.49677,                0.66358,                 0.6457,                0.39162,                 1.4006,                 1.3395,                 1.5421,             0.00076922,             0.00076922,             0.00076922
                    138,                 1.2266,                 1.2321,                 1.3902,                0.54596,                0.66021,                0.59885,                0.37027,                 1.3374,                 1.3998,                 1.5027,             0.00076262,             0.00076262,             0.00076262
                    139,                 1.1796,                 1.1782,                 1.3803,                0.60053,                0.59268,                0.62765,                0.40023,                 1.3814,                 1.2967,                 1.5662,             0.00075602,             0.00075602,             0.00075602
                    140,                 1.1646,                 1.1787,                 1.3847,                0.51255,                0.66231,                0.60621,                0.38972,                 1.3888,                 1.3285,                 1.5474,             0.00074942,             0.00074942,             0.00074942
                    141,                  1.199,                 1.1972,                 1.3927,                0.50032,                0.74272,                0.62106,                0.38404,                 1.3894,                  1.297,                 1.5582,             0.00074282,             0.00074282,             0.00074282
                    142,                 1.2535,                 1.2388,                 1.4163,                0.61794,                0.58004,                0.63987,                 0.3977,                 1.3651,                 1.2841,                 1.5347,             0.00073621,             0.00073621,             0.00073621
                    143,                 1.2295,                 1.2036,                 1.3762,                0.49775,                0.66231,                0.59201,                0.37329,                 1.4198,                 1.3183,                 1.6079,             0.00072961,             0.00072961,             0.00072961
